LFNR;BEMERKUNG;FIRMA;TYPE;ANLAGENNR;INVNR;GER./SER.NR;ORTRAUM;ORTKAST;ORTFACH;KATEGORIE;STANDORT;BILDREF;DATEIREF;;;;;;;;;
0000;Oszilloskop LCD Scopemeter;Fluke;123;312000560825;540-23/2000/17;DM7400153;W096;R5;F6;Oszilloskop;ELA-Magazin (W096);/intra/woda/data/ela/img/fluke123.jpg;;;;;;;;;;
0001;Asynchronmotor;AEG;AD63KZ4R3;;540-02/07/04;17204424;W109;K4;F4;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/001.jpg;;;;;;;;;;
0002;Asynchronmotor;AEG;AD63N2R3;;540-02/07/04;38304639;W109;K4;F4;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/001.jpg;;;;;;;;;;
0003;Koaxleitungen;HTL;50,2x75,90 Ohm;;;;W096;R7;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
0004;Koaxleitungen;HTL;50,75,2x90 Ohm;;;;W096;R7;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
0005;Gleichstromversorgung für DMS Brücke;HTL;;;;;W92;K6;F3;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0006;Kabelleitungen;HTL;mehrfach vielpolig;;;;W096;R7;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
0007;Spektrumanalysator;Agilent;"Standard  ESA-E4404B; 9kHz- 6,7GHz";312000561871;540-28/2003/3;MY414410221DN;W92;K14;F3;Hochfrequenztechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/597.jpg;;;;;;;;;;
0008;ESA Series Spectrum Analyzer;Agilent;Modulationsanalysemessung;312000562072;540-10/2005/1;;W92;K14;;Hochfrequenztechnik;Regeltechniklabor (W92);;;;;;;;;;;
0010;A3-XY-Schreiber;BBC/Goerz/Metrawatt;SERVOG.733;;540-25/2000/4;872130;W109;T2;F6;Drucker / Plotter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/1.jpg;;;;;;;;;;
0011;XY - Schreiber;Servogor;XY743;312000560851;540-25/2000/3/1;;W92;K1;F6;Drucker / Plotter;Regeltechniklabor (W92);/intra/woda/data/ela/img/1.jpg;;;;;;;;;;
0012;Induktive Last (0,2-6H/0,25-0,65A);Leybold;73242;;;;W92;K5;F6;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0013;Kabel für DMS;HTL;;;;;W92;K6;F3;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0014;Präzisionslängenmessuhr, Zugstab, Torsionsstab;Leybold;Zubehör;;;;W92;K6;F4;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0015;Multimeter;BBC/Goerz/Metrawatt;METRAVO 5D;312000560733;540-17/2000/20/2;L 48805037;W096;R3;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00127.jpg;;;;;;;;;;
0016;Multimeter;BBC/Goerz/Metrawatt;METRAVO 5D;312000560732;540-17/2000/20/1;M 04818866;W096;R3;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00127.jpg;;;;;;;;;;
0017;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;10,6 OHM   4,2A;W91;K9;F2;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0018;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;53 OHM  1,85A;W91;K9;F2;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0019;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;53 OHM   1,85A;W91;K9;F3;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0020;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;53 OHM   1,85A;W91;K9;F3;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;